roomId,roomType,price,maxGuest,roomSize,bedType,imagePath,hotelId
1,suite,750k,1,35,futon,asset/room5,50
2,suite,500k,5,25,sofa,asset/room3,20
3,double,2,5,40,daybed,asset/room4,22
4,suite,750k,4,55,king,asset/room1,50
5,double,2,4,60,queen,asset/room3,2
6,suite,1,5,60,double,asset/room10,11
7,double,500k,2,25,twin,"",5
8,double,1,2,30,twin,asset/room5,4
9,double,2,3,42,king,asset/room3,24
10,double,1,4,42,futon,asset/room2,8
11,suite,1,5,40,bunk,asset/room3,38
12,single,1,2,40,king,asset/room9,8
13,single,2,5,38,double,asset/room3,24
14,single,250k,2,35,queen,asset/room6,32
15,double,1,4,60,futon,asset/room9,14
16,suite,2,5,55,double,asset/room4,19
17,double,2,5,30,queen,asset/room1,5
18,single,500k,5,38,queen,asset/room3,46
19,double,000k,5,42,bunk,"",6
20,double,1,4,30,bunk,"",2
21,double,250k,1,50,twin,asset/room5,29
22,double,2,1,35,bunk,asset/room10,23
23,suite,1,2,25,bunk,asset/room6,35
24,suite,1,3,60,daybed,asset/room10,9
25,single,000k,3,60,murphy,"",30
26,single,1,4,38,queen,asset/room4,27
27,suite,500k,3,55,double,"",48
28,suite,750k,5,55,trundle,asset/room6,40
29,suite,750k,4,42,murphy,"",24
30,double,500k,4,55,trundle,asset/room4,8
31,suite,250k,3,35,trundle,asset/room5,24
32,single,1,2,35,king,asset/room5,1
33,suite,500k,3,42,daybed,asset/room1,11
34,double,000k,5,30,king,asset/room5,31
35,single,000k,3,35,daybed,asset/room9,33
36,double,500k,4,42,daybed,asset/room4,36
37,double,2,5,45,murphy,asset/room1,4
38,suite,500k,3,30,trundle,asset/room8,17
39,single,250k,4,25,queen,asset/room8,43
40,suite,1,5,38,queen,asset/room10,25
41,double,500k,4,55,daybed,asset/room9,32
42,suite,2,2,55,murphy,"",22
43,double,2,3,30,sofa,"",24
44,suite,1,1,40,queen,asset/room6,3
45,single,250k,3,50,bunk,asset/room6,3
46,double,2,4,42,trundle,asset/room9,8
47,suite,1,5,60,double,asset/room10,24
48,suite,2,4,40,king,asset/room9,22
49,single,1,1,25,queen,asset/room7,33
50,double,500k,5,55,twin,asset/room1,41
51,double,1,1,25,queen,asset/room8,47
52,single,500k,5,60,king,asset/room1,45
53,suite,1,3,40,king,asset/room8,20
54,single,1,4,40,futon,"",5
55,suite,750k,4,45,sofa,"",33
56,single,1,1,35,king,asset/room5,50
57,single,750k,2,35,bunk,asset/room3,14
58,suite,2,1,38,daybed,asset/room7,49
59,suite,000k,3,60,murphy,asset/room4,10
60,single,1,5,25,king,asset/room8,40
61,suite,250k,3,45,twin,asset/room4,5
62,single,750k,3,40,trundle,asset/room5,29
63,double,1,3,50,king,asset/room4,6
64,double,000k,5,42,sofa,asset/room1,29
65,double,1,4,35,king,asset/room3,32
66,single,2,4,45,queen,asset/room4,47
67,suite,500k,5,42,murphy,asset/room10,22
68,suite,000k,2,60,trundle,asset/room9,23
69,double,250k,2,40,futon,asset/room10,18
70,double,2,4,50,futon,asset/room6,43
71,double,000k,4,30,queen,asset/room9,45
72,single,000k,4,60,twin,asset/room3,10
73,double,000k,3,40,twin,asset/room5,18
74,double,1,2,42,twin,asset/room8,2
75,suite,1,2,35,murphy,asset/room2,37
76,single,500k,2,25,bunk,asset/room5,40
77,suite,250k,1,25,trundle,asset/room9,21
78,suite,2,2,35,twin,asset/room5,20
79,double,750k,5,50,futon,asset/room8,12
80,suite,500k,1,38,double,asset/room9,40
81,double,1,4,45,bunk,"",17
82,single,000k,2,60,double,asset/room9,15
83,suite,250k,4,60,queen,asset/room4,47
84,single,500k,1,25,daybed,asset/room4,3
85,single,750k,5,50,murphy,asset/room8,9
86,single,500k,5,30,futon,asset/room8,47
87,single,000k,5,42,sofa,asset/room5,30
88,single,1,3,50,futon,asset/room9,17
89,suite,500k,5,35,futon,asset/room5,50
90,single,2,1,38,murphy,asset/room9,5
91,single,500k,4,25,daybed,asset/room4,42
92,double,500k,4,25,trundle,asset/room8,23
93,double,750k,1,55,bunk,asset/room6,34
94,single,1,1,25,futon,asset/room1,38
95,suite,500k,5,45,futon,asset/room2,1
96,suite,2,1,38,double,asset/room3,7
97,double,250k,2,35,trundle,asset/room9,29
98,suite,1,2,40,sofa,"",21
99,suite,750k,2,40,bunk,asset/room5,15
100,single,2,4,40,bunk,asset/room5,17
,,,,,,asset/hotel10,
,,,,,,asset/hotel4,
,,,,,,asset/hotel1,
,,,,,,asset/hotel5,
,,,,,,asset/hotel7,
,,,,,,asset/hotel3,
,,,,,,asset/hotel1,
,,,,,,asset/hotel5,
,,,,,,asset/hotel10,
,,,,,,asset/hotel8,
,,,,,,asset/hotel4,
,,,,,,asset/hotel5,
,,,,,,asset/hotel10,
,,,,,,asset/hotel9,
,,,,,,asset/hotel2,
,,,,,,asset/hotel6,
,,,,,,asset/hotel2,
,,,,,,asset/hotel9,
,,,,,,asset/hotel2,
,,,,,,asset/hotel1,
,,,,,,asset/hotel1,
,,,,,,asset/hotel6,
,,,,,,asset/hotel5,
,,,,,,asset/hotel8,
,,,,,,asset/hotel4,
,,,,,,asset/hotel9,
,,,,,,asset/hotel7,
,,,,,,asset/hotel3,
,,,,,,asset/hotel5,
,,,,,,asset/hotel1,
,,,,,,asset/hotel8,
,,,,,,asset/hotel1,
,,,,,,asset/hotel5,
,,,,,,asset/hotel10,
,,,,,,asset/hotel10,
,,,,,,asset/hotel6,
,,,,,,asset/hotel7,
,,,,,,asset/hotel7,
,,,,,,asset/hotel8,
,,,,,,asset/hotel7,
,,,,,,asset/hotel1,
,,,,,,asset/hotel9,
,,,,,,asset/hotel5,
,,,,,,asset/hotel2,
,,,,,,asset/hotel7,
,,,,,,asset/hotel8,
,,,,,,asset/hotel2,
,,,,,,asset/hotel1,
,,,,,,asset/hotel9,
,,,,,,asset/hotel7,
